station_id,station,mask_source,marine_seed_resolved,marine_seed_status,marine_context_width_km,marine_context_source,marine_context_ocean_cells,marine_context_river_cells,window_area_km2,valid_area_km2,mask_lowland_area_km2,mask_reference_land_area_km2,land_cells,land_area_km2,ocean_cells,ocean_area_km2,lake_cells,lake_area_km2,river_cells,river_area_km2,outside_mask_support_cells,outside_mask_support_area_km2,clipped_255_cells,clipped_255_area_km2
cordemais,Cordemais France,mask:mosaic(2),True,resolved_context_ocean_connected_river,50.0,mask:mosaic(2),223134,91508,100.65195234985728,91.34924849517382,75.46703068311385,91.34924849517382,141132,91.34924849517382,0,0.0,473,0.3061837484055846,13897,8.99652010627787,0,0.0,0,0.0
le-pellerin,Le Pellerin France,mask:mosaic(4),True,resolved_context_ocean_connected_river,100.0,mask:mosaic(4),2022619,149489,100.57742850071489,95.95590337781698,59.84608280104734,95.95590337781698,148045,95.95590337781698,0,0.0,330,0.21395129719101663,6801,4.40757382570688,0,0.0,0,0.0
nantes-usine-brulee,Nantes Usine Brulee,mask:mosaic(6),True,resolved_context_ocean_connected_river,100.0,mask:mosaic(6),821274,147611,100.57953515792227,96.35611622429269,28.845703901671648,96.35611622429269,148660,96.35611622429269,0,0.0,120,0.07777550966699123,6396,4.145643423962564,0,0.0,0,0.0
leith-p034-uk,Leith P034 Uk,mask:mosaic(2),True,resolved_local_ocean,10.0,mask:mosaic(2),120509,0,100.55095692806738,36.077806348558674,7.795322628364543,36.077806348558674,67561,36.077806348558674,120509,64.28202778469591,358,0.19112279481277333,0,0.0,0,0.0,0,0.0
tobermory-p223-uk,Tobermory P223 Uk,mask:mosaic(2),True,resolved_local_ocean,10.0,mask:mosaic(2),86543,0,100.6095769405417,53.852406684140846,2.288892222023347,53.852406684140846,102569,53.852406684140846,86543,45.403962840374774,2576,1.3532074160260845,0,0.0,0,0.0,0,0.0
donges,Donges France,mask:mosaic(2),True,resolved_context_ocean_connected_river,25.0,mask:mosaic(2),77828,66946,100.5969871408636,74.36184426161036,73.23381163470495,74.36184426161036,114959,74.36184426161036,0,0.0,136,0.08796549967212634,40407,26.147177379581134,0,0.0,0,0.0
cromer-p183-uk,Cromer P183 Uk,DeltaDTM_v1_1_N52E001.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N52E001.tif,64298,0,100.6662331516361,45.20371344228606,0.5736525909868904,45.20371344228606,52379,45.20371344228606,64298,55.43576231140318,31,0.026757397946858247,0,0.0,0,0.0,0,0.0
avonmouth-p060-uk,Avonmouth P060 Uk,DeltaDTM_v1_1_N51W003.tif,True,resolved_context_ocean_connected_river,25.0,DeltaDTM_v1_1_N51W003.tif,6094,177372,100.4606644512727,54.45693920103256,37.11894278343243,54.45693920103256,61125,54.45693920103256,0,0.0,1063,0.9469749659085234,50608,45.05675028433162,0,0.0,0,0.0
hinkleypoint-p003-uk,Hinkleypoint P003 Uk,DeltaDTM_v1_1_N51W004.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N51W004.tif,68069,0,100.52721994384478,39.51394690976025,13.398025887664096,39.51394690976025,44054,39.51394690976025,68069,60.99443035354576,21,0.01884268053878849,0,0.0,0,0.0,0,0.0
mumbles-p932-uk,Mumbles P932 Uk,mask:mosaic(2),True,resolved_local_ocean,10.0,mask:mosaic(2),129498,0,100.52389162612411,23.15177703912707,2.630546946383743,23.147627307820482,39055,23.147627307820482,129498,76.80320407556084,641,0.3797450665386927,0,0.0,326,0.19331517620408484,0,0.0
devonport-p002-uk,Devonport P002 Uk,DeltaDTM_v1_1_N50W005.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N50W005.tif,37811,420,100.58051562652668,65.64415531351735,11.599958209975089,65.64415531351735,71927,65.64415531351735,37811,34.525954551327004,30,0.027372749548667998,420,0.38303301213364455,0,0.0,0,0.0
weymouth-p991-uk,Weymouth P991 Uk,DeltaDTM_v1_1_N50W003.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N50W003.tif,61491,138,100.66307356723769,44.385038867447484,14.638562700445926,44.385038867447484,48891,44.385038867447484,61491,55.86218888173488,320,0.2905188072072793,138,0.1253270108480506,0,0.0,0,0.0
barmouth-p923-uk,Barmouth P923 Uk,mask:mosaic(2),True,resolved_local_ocean,10.0,mask:mosaic(2),69865,0,100.60063934977194,60.04539814294937,8.6894184268925,60.04539814294937,103910,60.04539814294937,69865,40.37662464774489,309,0.17861655907769058,0,0.0,0,0.0,0,0.0
portsmouth-p008-uk,Portsmouth P008 Uk,DeltaDTM_v1_1_N50W002.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N50W002.tif,39563,1230,100.5401298749635,63.36461154010801,62.71309365245595,63.36461154010801,70078,63.36461154010801,39563,35.797022178718656,295,0.26673937728658326,1230,1.1117567788502467,0,0.0,0,0.0
malin-head-834a-ireland,Malin Head 834a,DeltaDTM_v1_1_N55W008.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N55W008.tif,80058,0,100.48574766375096,35.37875233155562,3.677496429161704,35.37875233155562,43481,35.37875233155562,80058,65.09479149174331,15,0.012203840452033286,0,0.0,0,0.0,0,0.0
kinlochbervi-p918-uk,Kinlochbervi P918 Uk,mask:mosaic(2),True,resolved_local_ocean,10.0,mask:mosaic(2),51667,0,100.55170407797704,71.05448393635511,4.015605839486442,71.0534849340186,142373,71.0534849340186,51667,25.790533088922498,7102,3.5449810322560347,0,0.0,326,0.16270502277989812,0,0.0
porterin-p919-uk,Porterin P919 Uk,DeltaDTM_v1_1_N54W005.tif,True,resolved_local_ocean,10.0,DeltaDTM_v1_1_N54W005.tif,80278,0,100.7051858411738,33.31120903420126,2.759722705950673,33.31120903420126,39690,33.31120903420126,80278,67.39397680697255,0,0.0,0,0.0,0,0.0,0,0.0
